RefluxRatio,DestillateToFlow,FeedStage,XDESTBENZE,XDESTTOL,XDESTXYL,XBOTBENZE,XBOTTOL,XBOTXYL,CONDDUTY,REBDUTY
3.8466,0.17391,19,0.99999,5.5847e-06,8.9934e-13,0.39474,0.36315,0.2421,-1.6473e+05,2.1963e+05
4.9495,0.51413,19,0.93436,0.06564,3.8649e-08,0.040367,0.548,0.41164,-6.0614e+05,6.6716e+05
2.9443,0.16166,5,0.96853,0.030677,0.00079,0.40965,0.35193,0.23841,-1.2552e+05,1.8014e+05
2.0407,0.74373,18,0.66804,0.33193,2.5715e-05,0.012315,0.20733,0.78036,-4.6742e+05,5.2771e+05
3.9519,0.32215,12,0.99977,0.00023076,1.3119e-08,0.26248,0.44247,0.29505,-3.118e+05,3.6891e+05
0.45885,0.11947,4,0.84915,0.133,0.017847,0.45263,0.32266,0.22471,-35353,89221
3.3965,0.49527,5,0.98341,0.016256,0.00033289,0.025642,0.57843,0.39593,-4.2721e+05,4.8888e+05
2.4801,0.15466,3,0.89911,0.089421,0.011466,0.42698,0.33853,0.23449,-1.0795e+05,1.622e+05
4.2551,0.55935,20,0.83972,0.16027,1.85e-07,0.068765,0.47736,0.45387,-5.9262e+05,6.5247e+05
3.4864,0.58114,18,0.84322,0.15678,3.5854e-07,0.023812,0.49871,0.47748,-5.2532e+05,5.8606e+05
4.3963,0.97913,2,0.51066,0.30639,0.18295,6.0526e-11,8.2669e-06,0.99999,-1.1658e+06,1.2198e+06
4.3285,0.61032,21,0.75076,0.24924,7.181e-07,0.10726,0.3795,0.51323,-6.6478e+05,7.235e+05
2.6431,0.47993,18,0.9743,0.025704,2.0684e-08,0.062306,0.55313,0.38457,-3.4364e+05,4.0447e+05
1.1469,0.49813,20,0.80375,0.19624,8.2626e-06,0.19851,0.40298,0.3985,-2.1688e+05,2.7432e+05
2.8776,0.83827,16,0.5964,0.35579,0.047806,0.00030596,0.010824,0.98887,-6.8781e+05,7.4698e+05
2.9341,0.2518,15,0.99988,0.00012012,6.24e-10,0.33177,0.40092,0.26731,-1.9361e+05,2.4953e+05
0.42658,0.62344,15,0.78194,0.2059,0.01216,0.033211,0.4558,0.51099,-1.8185e+05,2.4177e+05
3.6515,0.88294,21,0.5582,0.32646,0.11534,0.061051,0.10043,0.83852,-8.8864e+05,9.4468e+05
3.8475,0.57982,20,0.81184,0.18816,3.1334e-07,0.069682,0.45433,0.47598,-5.6924e+05,6.2892e+05
2.9047,0.026643,4,0.93375,0.062227,0.0040272,0.48813,0.30651,0.20536,-20661,74119
4.3149,0.48461,18,0.99669,0.0033074,1.3088e-09,0.03297,0.57897,0.38806,-5.0377e+05,5.6538e+05
1.0549,0.55125,14,0.88654,0.11343,2.4941e-05,0.025175,0.52918,0.44565,-2.2652e+05,2.8752e+05
0.16964,0.61242,9,0.80156,0.16621,0.032233,0.023506,0.5114,0.46509,-1.4719e+05,2.0696e+05
